EmployeeID,FirstName,LastName,Department,Salary
1,John,Doe,HR,50000
2,Jane,Smith,Marketing,55000
3,Bob,Johnson,Engineering,60000
4,Alice,Brown,Sales,52000
5,Eva,Davis,HR,48000
6,Michael,Wilson,Marketing,56000
7,Sarah,Anderson,Engineering,62000
8,David,Lee,Sales,54000
9,Mary,Garcia,HR,49000
10,Robert,Martinez,Marketing,58000
11,Linda,Clark,Engineering,61000
12,William,Turner,Sales,53000
13,Olivia,Harris,HR,47000
14,Daniel,Lopez,Marketing,57000
15,Sophia,Lewis,Engineering,63000
16,James,Miller,Sales,55000
17,Ava,Taylor,HR,51000
18,Emily,White,Marketing,59000
19,Alexander,Hall,Engineering,64000
20,Mia,Moore,Sales,56000
